method,dataset,depth,param_type,param_value,num_subgroups,num_candidates,pruned_subgroups,auc,max_quality,time_seconds,total_points,original_hull_points,removed_points,new_hull_points,original_auc,new_auc,auc_reduction,original_area,new_area,area_reduction,original_max_quality,new_max_quality,selected_points,avg_distance_to_hull,min_diagonal_distance,max_diagonal_distance,threshold_used
closest_points_to_hull,mushroom,3,n_points,10.0,,,,,,0.015223979949951172,8010.0,,,3.0,0.9949432376484113,0.984608333948275,0.010334903700136344,0.4949432376484113,0.4846083339482749,0.0103349037001364,0.9158992842079099,0.9158992842079099,0.0,0.0,,,
closest_points_to_hull,mushroom,3,n_points,20.0,,,,,,0.015194177627563477,8010.0,,,4.0,0.9949432376484113,0.9949432376484113,0.0,0.4949432376484113,0.4949432376484113,0.0,0.9158992842079099,0.9158992842079099,0.0,0.0,,,
closest_points_to_hull,mushroom,3,n_points,50.0,,,,,,0.015292644500732422,8010.0,,,4.0,0.9949432376484113,0.9949432376484113,0.0,0.4949432376484113,0.4949432376484113,0.0,0.9158992842079099,0.9158992842079099,0.0,0.0,,,
closest_points_to_hull,mushroom,3,n_points,100.0,,,,,,0.01368260383605957,8010.0,,,4.0,0.9949432376484113,0.9949432376484113,0.0,0.4949432376484113,0.4949432376484113,0.0,0.9158992842079099,0.9158992842079099,0.0,0.0,,,
closest_points_to_hull,mushroom,4,n_points,10.0,,,,,,0.018032312393188477,10161.0,,,3.0,0.9952927834330834,0.99500149527919,0.00029128815389334317,0.49529278343308336,0.49500149527919,0.00029128815389334317,0.9169207346675625,0.9131728270874679,0.0,0.0,,,
closest_points_to_hull,mushroom,4,n_points,20.0,,,,,,0.01926589012145996,10161.0,,,4.0,0.9952927834330834,0.9952578288546161,3.495457846725003e-05,0.49529278343308336,0.49525782885461617,3.495457846719452e-05,0.9169207346675625,0.9158992842079099,0.0,0.0,,,
closest_points_to_hull,mushroom,4,n_points,50.0,,,,,,0.026320934295654297,10161.0,,,4.0,0.9952927834330834,0.9952578288546161,3.495457846725003e-05,0.49529278343308336,0.49525782885461617,3.495457846719452e-05,0.9169207346675625,0.9158992842079099,0.0,0.0,,,
closest_points_to_hull,mushroom,4,n_points,100.0,,,,,,0.028319358825683594,10161.0,,,4.0,0.9952927834330834,0.9952578288546161,3.495457846725003e-05,0.49529278343308336,0.49525782885461617,3.495457846719452e-05,0.9169207346675625,0.9158992842079099,0.0,0.0,,,
furthest_from_diagonal,mushroom,1,n_points,10.0,,,,,,0.0025827884674072266,220.0,,,2.0,0.9769493974219057,0.8993211044093259,0.07762829301257979,0.4769493974219057,0.39932110440932583,0.07762829301257984,0.9039836567926456,0.6916811987090109,0.0,,0.0,0.0,
furthest_from_diagonal,mushroom,1,n_points,20.0,,,,,,0.0025734901428222656,220.0,,,3.0,0.9769493974219057,0.899973589874047,0.07697580754785871,0.4769493974219057,0.399973589874047,0.07697580754785865,0.9039836567926456,0.6916811987090109,0.0,,0.0,0.0,
