Conditions,Coverage,Quality,Original_Quality,TPR,FPR,Precision,Recall,TP,FP,TN,FN
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 83311.0 AND age >= 31.0,298,0.7577900502873564,0.5155801177024841,0.6939655172413793,0.17838541666666666,0.540268456375839,0.6939655172413793,161,137,631,71
age >= 29.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week <= 60.0,333,0.7574533045977012,0.5149065852165222,0.728448275862069,0.21354166666666666,0.5075075075075075,0.728448275862069,169,164,604,63
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND fnlwgt >= 85815.0,296,0.7562859195402298,0.5125718116760254,0.6896551724137931,0.17708333333333334,0.5405405405405406,0.6896551724137931,160,136,632,72
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND capital-loss <= 0.0,335,0.7561512212643677,0.5123024582862854,0.728448275862069,0.21614583333333334,0.5044776119402985,0.728448275862069,169,166,602,63
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND native-country = 'United-States',319,0.7553430316091954,0.5106860399246216,0.7112068965517241,0.20052083333333334,0.5172413793103449,0.7112068965517241,165,154,614,67
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND age <= 58.0,298,0.7549838362068966,0.5099676847457886,0.6896551724137931,0.1796875,0.5369127516778524,0.6896551724137931,160,138,630,72
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 40.0 AND fnlwgt >= 80945.0,298,0.7549838362068966,0.5099676847457886,0.6896551724137931,0.1796875,0.5369127516778524,0.6896551724137931,160,138,630,72
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 40.0 AND age >= 31.0,298,0.7549838362068966,0.5099676847457886,0.6896551724137931,0.1796875,0.5369127516778524,0.6896551724137931,160,138,630,72
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND sex = 'Male',311,0.7549389367816092,0.5098778605461121,0.7025862068965517,0.19270833333333334,0.5241157556270096,0.7025862068965517,163,148,620,69
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND hours-per-week >= 40.0,326,0.7535919540229885,0.5071839094161987,0.7155172413793104,0.20833333333333334,0.50920245398773,0.7155172413793104,166,160,608,66
hours-per-week >= 26.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND fnlwgt >= 86551.0,309,0.7534348060344828,0.5068696141242981,0.6982758620689655,0.19140625,0.5242718446601942,0.6982758620689655,162,147,621,70
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND age <= 58.0 AND fnlwgt >= 87418.0,305,0.7532327586206897,0.506465494632721,0.6939655172413793,0.1875,0.5278688524590164,0.6939655172413793,161,144,624,71
hours-per-week >= 26.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 85812.0 AND age >= 31.0,310,0.7527837643678161,0.5055675506591797,0.6982758620689655,0.19270833333333334,0.5225806451612903,0.6982758620689655,162,148,620,70
age >= 29.0 AND fnlwgt >= 80145.0 AND marital-status = 'Married-civ-spouse' AND age <= 57.0,307,0.7519306752873564,0.5038613677024841,0.6939655172413793,0.19010416666666666,0.5244299674267101,0.6939655172413793,161,146,622,71
age >= 29.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND sex = 'Male',312,0.7514816810344828,0.5029633641242981,0.6982758620689655,0.1953125,0.5192307692307693,0.6982758620689655,162,150,618,70
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 82465.0 AND age <= 57.0,304,0.7510775862068966,0.5021551847457886,0.6896551724137931,0.1875,0.5263157894736842,0.6896551724137931,160,144,624,72
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND fnlwgt >= 84154.0,330,0.7509877873563219,0.5019755959510803,0.7155172413793104,0.21354166666666666,0.503030303030303,0.7155172413793104,166,164,604,66
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND education-num <= 14.0,339,0.7507408405172413,0.5014816522598267,0.7241379310344828,0.22265625,0.49557522123893805,0.7241379310344828,168,171,597,64
age >= 24.0 AND age >= 33.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 37.0,309,0.750628591954023,0.5012571811676025,0.6939655172413793,0.19270833333333334,0.5210355987055016,0.6939655172413793,161,148,620,71
age >= 29.0 AND age >= 33.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 37.0,309,0.750628591954023,0.5012571811676025,0.6939655172413793,0.19270833333333334,0.5210355987055016,0.6939655172413793,161,148,620,71
hours-per-week >= 26.0 AND age >= 30.0 AND marital-status = 'Married-civ-spouse' AND age <= 57.0,322,0.7505836925287357,0.501167356967926,0.7068965517241379,0.20572916666666666,0.5093167701863354,0.7068965517241379,164,158,610,68
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND race = 'White',348,0.7504938936781609,0.5009877681732178,0.7327586206896551,0.23177083333333334,0.4885057471264368,0.7327586206896551,170,178,590,62
education-num >= 9.0 AND age >= 29.0 AND relationship = 'Husband',306,0.7497755028735633,0.499550998210907,0.6896551724137931,0.19010416666666666,0.5228758169934641,0.6896551724137931,160,146,622,72
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND relationship = 'Husband',306,0.7497755028735633,0.499550998210907,0.6896551724137931,0.19010416666666666,0.5228758169934641,0.6896551724137931,160,146,622,72
hours-per-week >= 26.0 AND age >= 30.0 AND marital-status = 'Married-civ-spouse' AND sex = 'Male',324,0.7492816091954022,0.4985632300376892,0.7068965517241379,0.20833333333333334,0.5061728395061729,0.7068965517241379,164,160,608,68
age >= 29.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND age <= 56.0,307,0.7491244612068966,0.4982489347457886,0.6896551724137931,0.19140625,0.5211726384364821,0.6896551724137931,160,147,621,72
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt <= 280464.0,312,0.748675466954023,0.49735093116760254,0.6939655172413793,0.19661458333333334,0.5160256410256411,0.6939655172413793,161,151,617,71
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 40.0 AND hours-per-week <= 60.0,325,0.7486305675287357,0.4972611367702484,0.7068965517241379,0.20963541666666666,0.5046153846153846,0.7068965517241379,164,161,607,68
age >= 29.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND race = 'White',304,0.7482713721264367,0.496542751789093,0.6853448275862069,0.18880208333333334,0.5230263157894737,0.6853448275862069,159,145,623,73
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND race = 'White' AND hours-per-week >= 37.0,304,0.7482713721264367,0.496542751789093,0.6853448275862069,0.18880208333333334,0.5230263157894737,0.6853448275862069,159,145,623,73
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 40.0 AND fnlwgt >= 81973.0,304,0.7482713721264367,0.496542751789093,0.6853448275862069,0.18880208333333334,0.5230263157894737,0.6853448275862069,159,145,623,73
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND sex = 'Male',348,0.7476876795977012,0.4953753650188446,0.728448275862069,0.23307291666666666,0.48563218390804597,0.728448275862069,169,179,589,63
