rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
2668,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A7 == 1.0,110,0.16845329249617153,0.1477832512315271,0.17777777777777778,0.2727272727272727,-0.029994526546250677,FINAL_SELECTION
2669,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A6 >= 0.0,154,0.23583460949464014,0.19704433497536947,0.25333333333333335,0.2597402597402597,-0.05628899835796389,FINAL_SELECTION
2670,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A6 <= 0.0,110,0.16845329249617153,0.1477832512315271,0.17777777777777778,0.2727272727272727,-0.029994526546250677,FINAL_SELECTION
2671,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A6 == 0.0,110,0.16845329249617153,0.1477832512315271,0.17777777777777778,0.2727272727272727,-0.029994526546250677,FINAL_SELECTION
2672,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A6 <= 3.0,136,0.2082695252679939,0.1724137931034483,0.22444444444444445,0.25735294117647056,-0.05203065134099616,FINAL_SELECTION
2673,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A6 != 3.0,149,0.22817764165390506,0.1921182266009852,0.24444444444444444,0.26174496644295303,-0.05232621784345923,FINAL_SELECTION
2674,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A6 <= 67,154,0.23583460949464014,0.19704433497536947,0.25333333333333335,0.2597402597402597,-0.05628899835796389,FINAL_SELECTION
2675,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A6 != 67,154,0.23583460949464014,0.19704433497536947,0.25333333333333335,0.2597402597402597,-0.05628899835796389,FINAL_SELECTION
2676,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A5 >= 0.0,154,0.23583460949464014,0.19704433497536947,0.25333333333333335,0.2597402597402597,-0.05628899835796389,FINAL_SELECTION
2677,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A5 <= 0.0,82,0.12557427258805512,0.11822660098522167,0.1288888888888889,0.2926829268292683,-0.010662287903667217,FINAL_SELECTION
2678,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A5 == 0.0,82,0.12557427258805512,0.11822660098522167,0.1288888888888889,0.2926829268292683,-0.010662287903667217,FINAL_SELECTION
2679,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A5 != 0.0,72,0.11026033690658499,0.07881773399014778,0.12444444444444444,0.2222222222222222,-0.04562671045429666,FINAL_SELECTION
2680,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A5 >= 1.0,72,0.11026033690658499,0.07881773399014778,0.12444444444444444,0.2222222222222222,-0.04562671045429666,FINAL_SELECTION
2681,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A5 <= 1.0,154,0.23583460949464014,0.19704433497536947,0.25333333333333335,0.2597402597402597,-0.05628899835796389,FINAL_SELECTION
