Conditions,Coverage,Quality,Original_Quality,TPR,FPR,Precision,Recall,TP,FP,TN,FN
fnlwgt >= 83082.0 AND age >= 33.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 36.0,269,0.8411458333333334,0.4747665226459503,0.6336206896551724,0.15885416666666666,0.5464684014869888,0.6336206896551724,147,122,646,85
age >= 33.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 83311.0 AND hours-per-week >= 36.0,269,0.8411458333333334,0.4747665226459503,0.6336206896551724,0.15885416666666666,0.5464684014869888,0.6336206896551724,147,122,646,85
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND age <= 52.0 AND fnlwgt >= 86551.0,265,0.8411458333333334,0.4575251340866089,0.6163793103448276,0.15885416666666666,0.539622641509434,0.6163793103448276,143,122,646,89
age >= 33.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 81973.0,271,0.83984375,0.47777479887008667,0.6379310344827587,0.16015625,0.5461254612546126,0.6379310344827587,148,123,645,84
age >= 33.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 37.0 AND fnlwgt >= 81973.0,270,0.83984375,0.4734644293785095,0.6336206896551724,0.16015625,0.5444444444444444,0.6336206896551724,147,123,645,85
age >= 29.0 AND hours-per-week >= 36.0 AND relationship = 'Husband' AND fnlwgt >= 80945.0,269,0.83984375,0.46915408968925476,0.6293103448275862,0.16015625,0.5427509293680297,0.6293103448275862,146,123,645,86
age >= 33.0 AND fnlwgt >= 80945.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 36.0,272,0.8385416666666666,0.4764727056026459,0.6379310344827587,0.16145833333333334,0.5441176470588235,0.6379310344827587,148,124,644,84
hours-per-week >= 26.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 114937.0 AND age >= 31.0,268,0.8385416666666666,0.45923131704330444,0.6206896551724138,0.16145833333333334,0.5373134328358209,0.6206896551724138,144,124,644,88
age >= 33.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND race = 'White',268,0.8385416666666666,0.45923131704330444,0.6206896551724138,0.16145833333333334,0.5373134328358209,0.6206896551724138,144,124,644,88
age >= 33.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 37.0 AND race = 'White',268,0.8385416666666666,0.45923131704330444,0.6206896551724138,0.16145833333333334,0.5373134328358209,0.6206896551724138,144,124,644,88
education-num >= 9.0 AND age >= 33.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 85815.0,277,0.8372395833333334,0.4924120008945465,0.6551724137931034,0.16276041666666666,0.5487364620938628,0.6551724137931034,152,125,643,80
education-num >= 9.0 AND age >= 33.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 40.0,277,0.8372395833333334,0.4924120008945465,0.6551724137931034,0.16276041666666666,0.5487364620938628,0.6551724137931034,152,125,643,80
age >= 33.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND age <= 57.0,272,0.8359375,0.46524783968925476,0.6293103448275862,0.1640625,0.5367647058823529,0.6293103448275862,146,126,642,86
